"blockid","mpo","town","infra_rank","safety_rank","access_rank","afford_rank","env_rank","tis"
250056520002,"Southeastern Massachusetts","NEW BEDFORD",0.9523281596452328,0.08869179600886923,0.20509977827050999,0.5543237250554324,0.7915742793791574,2.5920177383592016
250056513002,"Southeastern Massachusetts","NEW BEDFORD",0.7139689578713969,0.8824833702882483,0.2106430155210643,0.6496674057649667,0.8758314855875832,3.33259423503326
250056314002,"Southeastern Massachusetts","ATTLEBORO",0.7782705099778271,0.6840354767184036,0.03547671840354767,0.9722838137472284,0.7228381374722839,3.192904656319291
250056504001,"Southeastern Massachusetts","NEW BEDFORD",0.5022172949002217,0.5753880266075388,0.4623059866962306,0.606430155210643,0.8580931263858094,3.004434589800444
250199505002,"Nantucket","NANTUCKET",0.09090909090909091,0,0.8181818181818182,0.6363636363636364,0,1.5454545454545454
250199501001,"Nantucket","NANTUCKET",0.7727272727272727,0.2272727272727273,0.3181818181818182,0.7272727272727273,0.36363636363636365,2.409090909090909
250056137002,"Southeastern Massachusetts","TAUNTON",0.5188470066518847,0.38691796008869184,0.7117516629711752,0.7649667405764966,0.4789356984478935,2.8614190687361423
250056531013,"Southeastern Massachusetts","DARTMOUTH",0.5232815964523282,0.05764966740576494,0.88470066518847,0.36141906873614194,0.04434589800443456,1.8713968957871399
250056508001,"Southeastern Massachusetts","NEW BEDFORD",0.4866962305986696,0.10421286031042132,0.25942350332594233,0.458980044345898,0.9423503325942351,2.2516629711751666
250056508003,"Southeastern Massachusetts","NEW BEDFORD",0.9212860310421286,0.1707317073170732,0.43458980044345896,0.5432372505543237,0.8248337028824834,2.8946784922394677
250056509001,"Southeastern Massachusetts","NEW BEDFORD",0.34146341463414637,0.1707317073170732,0.3580931263858093,0.6940133037694014,0.8514412416851441,2.4157427937915745
250056509002,"Southeastern Massachusetts","NEW BEDFORD",0.5110864745011087,0.08869179600886923,0.49223946784922396,0.5365853658536586,0.29933481152993346,1.9279379157427938
250056509003,"Southeastern Massachusetts","NEW BEDFORD",0.34146341463414637,0.20509977827050996,0.5011086474501109,0.7095343680709534,0.25942350332594233,2.016629711751663
250056510022,"Southeastern Massachusetts","NEW BEDFORD",0.2926829268292683,0.4079822616407982,0.6762749445676275,0.45232815964523276,0.2062084257206208,2.0354767184035474
250056511001,"Southeastern Massachusetts","NEW BEDFORD",0.8680709534368071,0.04434589800443456,0.44567627494456763,0.70509977827051,0.2727272727272727,2.335920177383592
250056511002,"Southeastern Massachusetts","NEW BEDFORD",0.8647450110864745,0.25942350332594233,0.1951219512195122,0.4866962305986696,0.5033259423503326,2.309312638580931
250056511003,"Southeastern Massachusetts","NEW BEDFORD",0.4379157427937916,0.3492239467849224,0.28159645232815966,0.40133037694013307,0.5454545454545454,2.015521064301552
250056512001,"Southeastern Massachusetts","NEW BEDFORD",0.5853658536585366,0.08869179600886923,0.3713968957871397,0.5920177383592018,0.6829268292682926,2.32039911308204
250056512002,"Southeastern Massachusetts","NEW BEDFORD",0.8492239467849224,0.22616407982261644,0.6008869179600886,0.5898004434589801,0.15964523281596454,2.425720620842572
250056542003,"Southeastern Massachusetts","ACUSHNET",0.04434589800443459,0.5753880266075388,0.7161862527716186,0.24611973392461195,0.5144124168514412,2.0964523281596454
250056551001,"Southeastern Massachusetts","FAIRHAVEN",0.050997782705099776,0.12195121951219512,0.8913525498891353,0.1707317073170732,0.039911308203991136,1.2749445676274944
250056514003,"Southeastern Massachusetts","NEW BEDFORD",0.5077605321507761,0.23946784922394682,0.20842572062084258,0.623059866962306,0.9334811529933481,2.5121951219512195
250056515001,"Southeastern Massachusetts","NEW BEDFORD",0.34146341463414637,0.3492239467849224,0.2982261640798226,0.6197339246119734,0.9113082039911308,2.5199556541019956
250056513001,"Southeastern Massachusetts","NEW BEDFORD",0.6762749445676275,0.05432372505543237,0.6707317073170732,0.6607538802660754,0.2505543237250555,2.3126385809312637
250056514002,"Southeastern Massachusetts","NEW BEDFORD",0.6984478935698448,0.5299334811529933,0.38802660753880264,0.39689578713968954,0.8470066518847007,2.860310421286031
250056516001,"Southeastern Massachusetts","NEW BEDFORD",0.8603104212860311,0.3492239467849224,0.21286031042128603,0.42793791574279383,0.8093126385809313,2.6596452328159645
250056516002,"Southeastern Massachusetts","NEW BEDFORD",0.4445676274944568,0.8824833702882483,0.3082039911308204,0.3946784922394678,0.9778270509977827,3.007760532150776
250056516003,"Southeastern Massachusetts","NEW BEDFORD",0.3946784922394678,0.5299334811529933,0.3968957871396896,0.3924611973392461,0.9467849223946785,2.6607538802660753
250056516004,"Southeastern Massachusetts","NEW BEDFORD",0.991130820399113,0.3492239467849224,0.4789356984478936,0.3902439024390244,0.6430155210643016,2.852549889135255
250056518001,"Southeastern Massachusetts","NEW BEDFORD",0.9356984478935698,0,0.532150776053215,0.6895787139689579,0.3392461197339246,2.4966740576496673
250056518002,"Southeastern Massachusetts","NEW BEDFORD",0.9290465631929047,0.008869179600886956,0.6263858093126385,0.6829268292682926,0.5232815964523281,2.770509977827051
250056002021,"Old Colony","EASTON",0.0967741935483871,0.01814516129032262,0.969758064516129,0.4395161290322581,0.13709677419354838,1.6612903225806455
250056314001,"Southeastern Massachusetts","ATTLEBORO",0.7472283813747228,0.5299334811529933,0.04212860310421286,0.9722838137472284,0.7139689578713969,3.005543237250554
250056411012,"Southeastern Massachusetts","FALL RIVER",0.5399113082039911,0.44013303769401335,0.28824833702882485,0.9955654101995566,0.9733924611973392,3.237250554323725
