blockid,town,mpo,bikefacility_p,sidewalk_p,potential,crash_count,risk_ratio,cd_sum,job_mean,tcost_p,vmt_sum,hcost_p
250173821004,"NATICK",Boston Region,0,0.844753675266785,NA,0,0.05,75259,207.83211644784814,0.22,99057368.32009238,0.5204905773257553
250173821002,"NATICK",Boston Region,0,0.756746755998292,NA,1,0.1,105106,239.08203930230914,0.22,166478067.07048538,0.5204905773257553
250173822001,"NATICK",Boston Region,0.0369331697634659,0.638228351295065,NA,3,0.1388888888888889,123621.99999999999,239.04009166000023,0.2,84200810.25872229,0.5204905773257553
250173822003,"NATICK",Boston Region,0,0.561649848114325,NA,1,0.0625,64364.99999999999,204.94417258937625,0.18,12400911.340786105,0.5204905773257553
250173702012,WATERTOWN,Boston Region,0,1.00013818404248,NA,0,0.08333333333333333,22297,1484.5772808962577,0.15,19847097.290097162,0.1872489959839358
250173701013,WATERTOWN,Boston Region,0.109350286153347,0.975324930378717,NA,0,0.08333333333333333,38275,1056.3053558745817,0.17,24377898.06074704,0.1872489959839358
250173701014,WATERTOWN,Boston Region,0,0.420603459517726,NA,0,0,32373,1013.3431771393987,0.17,8127769.715410194,0.1872489959839358
250173702023,WATERTOWN,Boston Region,0,0.784650414458041,NA,0,0,32493,1107.1564702233136,0.19,11151885.03284323,0.1872489959839358
250173731001,NEWTON,Boston Region,0.139798735498532,0.521735158899957,NA,0,0.08333333333333333,50514,1486.686108063275,0.18,483901365.3479502,0.09499253630071908
250173731003,NEWTON,Boston Region,0.0286708610247701,0.678150622611934,NA,1,0.125,29134,1570.7085745800061,0.15,181522113.6409665,0.09499253630071908
250173731004,NEWTON,Boston Region,0,0.783621295734111,NA,1,0.125,33530,1399.682235617292,0.18,184738200.47476807,0.09499253630071908
250173731005,NEWTON,Boston Region,0,0.827716496508344,NA,0,0.125,39959,1455.5583547393608,0.18,60365214.19955935,0.09499253630071908
250173732001,NEWTON,Boston Region,0.115572582328735,0.68688337099613,NA,0,0.08333333333333333,54405,1221.0525144651072,0.16,22319817.3095934,0.09499253630071908
250173732002,NEWTON,Boston Region,0,0.929959276471588,NA,0,0.125,21724,1285.2907340493618,0.17,29310026.21736692,0.09499253630071908
250173732004,NEWTON,Boston Region,0.0644534429343604,0.79746212154623,NA,2,0.0625,42576,1159.5397371567828,0.18,30405360.673426054,0.09499253630071908
250173747001,NEWTON,Boston Region,0.0419856037281861,0.54529045037264,NA,2,0.05,150132.00000000003,838.175360666384,0.18,596317972.1835475,0.09499253630071908
250173747002,NEWTON,Boston Region,0,0.600341390047735,NA,0,0.05,41859,963.8905962328328,0.18,514398937.40343577,0.09499253630071908
250173748002,NEWTON,Boston Region,0.0100351869599038,0.446165624163123,NA,1,0.075,185146.00000000003,944.0682383210005,0.16,616015436.7509308,0.09499253630071908
250173652014,SUDBURY,Boston Region,0,0.131327704162984,NA,0,0.045454545454545456,218053.99999999997,91.6296826194725,0.23,49242022.07561623,0.9728033472803344
250173652012,SUDBURY,Boston Region,0,0.0647514679012962,NA,0,0.0625,270091,107.79015372439964,0.24,41553467.94258682,0.9728033472803344
250173652022,SUDBURY,Boston Region,0,0.242200579544505,NA,0,0.027777777777777776,180205,157.27269728716107,0.24,33945947.927563384,0.9728033472803344
250173641022,MAYNARD,Boston Region,0,0.323433771925433,NA,0,0.05555555555555555,81430.99999999999,70.7879674366631,0.2,46153054.19882653,0.4379568798001297
250173641023,MAYNARD,Boston Region,0.0199473969731451,0.57046679451472,NA,0,0.15,63037,73.62862979267517,0.21,41213667.795453265,0.4379568798001297
250173651001,SUDBURY,Boston Region,0,0.22724891439075,NA,1,0.05,358149.0000000001,60.81004693562024,0.24,64255894.977630824,0.9728033472803344
250173641021,MAYNARD,Boston Region,0,0.258128922395001,NA,0,0.041666666666666664,100401.00000000001,67.00126234846164,0.2,31402724.847038712,0.4379568798001297
250173671004,WESTON,Boston Region,0.231556453658126,0.377738426167878,NA,0,0.125,384283.9999999999,402.5262099301025,0.22,128376305.23492023,1.014141414141414
250173672004,WESTON,Boston Region,0,0.140925906530989,NA,0,0.0625,570427.9999999999,321.44722012566183,0.23,412970589.28738284,1.014141414141414
